"Spranks Extensions","Spranks Extensions"
"Automatic Invoices","Automatische Rechnungen"
"Automatic Invoices Settings","Automatische Rechnungen Einstellungen"
"General Settings","Allgemeine Einstellungen"
"Enable module","Modul aktivieren"
"An invoice should be automatically created for the following payment methods:","Für die folgenden Zahlarten soll automatisch eine Rechnung erstellt werden:"
"Send invoice mail","Sende Rechnung per E-Mail"
