"Spranks Extensions","Spranks Extensions"
"Automatic Invoices","Automatische Rechnungen"
"Automatic Invoices Settings","Automatische Rechnungen Einstellungen"
"General Settings","Allgemeine Einstellungen"
"Enable module","Modul aktivieren"
"The cache under System - Cache Management should be refreshed after each change.","Der Cache sollte nach jeder Änderung unter System - Cache Verwaltung aktualisiert werden."
"An invoice should be automatically created for the following payment methods:","Für die folgenden Zahlarten soll automatisch eine Rechnung erstellt werden:"
"Send the invoice mail to the customer,"Schicke die Rechnungs-Mail an den Kunden"
